"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Chemical;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Chemical Engineering and Process;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Food;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Food Science and Engineering;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Business;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;International Economics and Trade;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";18000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Computer;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Computer Science and Technology;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Civil Engineering;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Business;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Business Administration;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";18000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Pharmacy;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Pharmacy;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";22000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
MBBS;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;"	Bachelor of Medicine and Bachelor of Surgery (MBBS)";Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";34000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Business;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;E-Commerce;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";18000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Mechanical;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Mechanical Design, Manufacturing and Automation;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Mechanical;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Vehicle Engineering;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Energy;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Energy and Power Engineering;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";20000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Others;Yes;Hot __;March, September;JSU;Jiangsu University;Yes;Information Management and Information System;Qumin;;;;;;Zhenjiang, Jiangsu;83-SHANGHAI RANKING;N/A;1st Jan;"No failing grades
>13/20";18000;"CNY4500 /bed /year (North) (Double room)
CNY4900 / bed /year (South) (Double room)
 or CNY 30/bed/ day. ";Allowed;RMB10,000 for the first year;No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;JSU.docx;JSU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥100";;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;September;BIT Zhuhai;Beijing Institute of Technology (Zhuhai);Yes;Artificial Intelligence;Qumin;;;;;;Zhuhai, Guangdong;13-SHANGHAI RANKING;985 project, 211, Double-first class;15th June;≥80;30,000 RMB/year;"Double Room: RMB900 per month
Quad Room: RMB500 per month";Allowed;"Type A: Free tuition, free accommodation on campus and 2500RMB/month (stipend for 12 months)  (4 years)
Type B: Free tuition, free accommodation on campus (4 years)
Type C: Free tuition (4 years)
Type D: Free tuition, free accommodation on campus (1 year)
Type E: Free tuition (1 year)
Type F: 50% off tuition fee (1 year)
Type G: 25% off tuition fee (1 year)
Type H: RMB10000 (1 year)";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;BIT zhuhai;BIT Zhuhai;"TOEFL≥ 85
IELTS≥ 6.0
Duolingo ≥110";;;;;;;;;;;;;;
Business;Yes;Hot __;March;LNPU;Liaoning Petrochemical University;No;Business Administration;Lisa;;;;;;Fushun, Liaoning;256-SHANGHAI RANKING;N/a;Until seats full;;15000 RMB/year;"Double room: 4500-5500/year
Single room: 6000-7000/year";Not Allowed;"For the first year 
cover 50% tuition fee (cover all students,Need pay tuition fee first)
For the 2-4 year:
Type A:  Cover 50% tuition fee
Type B:  Cover 40% tuition fee
Type C:  Cover 30% tuition fee";No;No;No;25;EFFST;LNPU;LNPU;;;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;March;LNPU;Liaoning Petrochemical University;No;Artificial Intelligence ;Lisa;;;;;;Fushun, Liaoning;256-SHANGHAI RANKING;N/a;Until seats full;;15000 RMB/year;"Double room: 4500-5500/year
Single room: 6000-7000/year";Not Allowed;"For the first year 
cover 50% tuition fee (cover all students,Need pay tuition fee first)
For the 2-4 year:
Type A:  Cover 50% tuition fee
Type B:  Cover 40% tuition fee
Type C:  Cover 30% tuition fee";No;No;No;25;EFFST;LNPU;LNPU;;;;;;;;;;;;;;;
Petroleum Eng;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Petroleum Engineering;Qumin;;;as early as possible, seats all open;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Geology;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Geology;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Others;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Resource Exploration Engineering;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Mechanical;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Mechanical Design, Manufacturing and Automation;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Software;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Software Engineering;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Civil Eng;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Civil Engineering;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Architecture;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Architecture;Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Others;Yes;Exclusive;September;UPC;China University of Petroleum (East China);Yes;Big Data Management and Application (30 seats);Qumin;;;;;;Qingdao, Shandong;67-SHANGHAI RANKING;211, Double First-Class;15th March~15th June;"Type A: ≥16.5_Software engineerin_16_others_
Type B: ≥15.5_Software engineerin_14.5_others_
Type C: ≥14_Software engineerin_13_others_
Civil Engineering/Architecture/self-funded 12

Type A: ≥85
Type B: ≥80";20000;"South Section (Ocean View): RMB700-750/Month (Double room)
North Section (City View): RMB600-650/Month (Double room) ";Allowed;"Type A: Cover tuition fee and on-campus accommodation fee  
Type B: Cover tuition fee 
Type C: Cover 50% tuition fee ";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;UPC;UPC;"TOEFL≥ 75
IELTS≥ 6.0
Duolingo ≥100";;;;;;;;;;;;;;
Computer;Yes;Hot __;September;SDUTCM;Shandong University of Traditional Chinese Medicine;No;Computer Science and Technology;Lisa;; Above 15 students  will open this program;;;;Jinan, Shandong;245-4ICU RANKING;N/a;15th June;;23000;Double bedroom: 4,000RMB/year;Not Allowed;Cover 12000RMB/year for tuition fee;No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;SDUTCM;SDUTCM;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;SDUTCM;Shandong University of Traditional Chinese Medicine;No;Data Science and Big Data Technology;Lisa;; Above 15 students  will open this program;;;;Jinan, Shandong;245-4ICU RANKING;N/a;15th June;;23000;Double bedroom: 4,000RMB/year;Not Allowed;Cover 12000RMB/year for tuition fee;No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;SDUTCM;SDUTCM;;;;;;;;;;;;;;;
Others;Yes;Hot __;September;ZJU;Zhejiang University;Yes;Communication _Global Communicationand Management_GCM;Qumin;;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A: 18
Type B: 16";65000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;RMB 5,000-30,000;No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;"IELTS: 6.5 or above;TOEFL: 80 or above;Duolingo: 120 or above 

Other requirements : Solid mathematics knowledge is recommended";;;;;;;;;;;;;;
Others;Yes;Hot __;September;XJTLU;Xi'an Jiaotong-Liverpool University;No;"Atteached pls find 49 majors
B2602-XJTLU-Xi_an Jiaotong-Liverpool University.pdf";Lisa;;;;;;Suzhou, Jiangsu ;the largest international collaborative university in China,;N/A;16st May;B,70%,13;93000;"SIP Campus Accommodation_
 1710-2700RMB/month
Taicang Campus Accommodation_
Double room: 6000RMB/year
Single room:14000RMB/year";Allowed;Type A:Up to cover 50% tuition fee(10-50%);No;Yes;No;25;Duolingo, TOEFL, IELTS;XJLTU.pdf;XJTLU;"IELTS: 5.0
TOEFL: 62 (iBT)
Duolinguo:100 overall with minimum 90 in any individual skill.";;;;;;;;;;;;;;
Aero(nautic/space);Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;Aeronautical Engineering;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;23900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;Artificial Intelligence;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;23900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Mechanical;Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;Mechanical Engineering;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;23900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Electrical;Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;Electrical & Electronic Engineering;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;23900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Business;Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;International Business;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;22900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;September;NUAA;Nanjing University Of Aeronautics And Astronautics;Yes;Civil Engineering;Lisa;;;;;;Nanjing,Jiangsu;36-SHANGHAI RANKING;211, Double First-class;30th May;10/20;23900;"Single room:8000/year
Double room:4000/year(small) or 7000/year(large)";Allowed from Second Year;"Type A:Cover tuition fee for the first year only
Type B:One time 10000RMB.";No;No;No;18-25;EFFST, Duolingo, TOEFL, IELTS;NUAA.pdf;NUAA;"TOEFL≥ 70
IELTS≥ 6,0
";;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Civil Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Architecture;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Architecture;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Intelligent Medical Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Artificial Intelligence AI;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Artificial Intelligence;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Computer;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Computer Science and Technology;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Business;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Business Management;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Measurement and Testing Technology and Instrument;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Others;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Intelligent Construction;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
Bio Eng.;Yes;Hot __;September;HIT;Harbin Institute of Technology;Yes;Biological Engineering;Lisa;;;;;;Harbin, Heilongjiang;14-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A:≥ 16
Type B:14-16
Type C:13-14
Type D:12-13
Selffund:_12";26000;Double bed room:RMB 800-1000/month/bed;Allowed;"Type A:Free tuition_4 years)
Type B:Cover 50% off tuition fee (4 years)
Type C:Cover 30% off tuition fee (4 years)
Type D:Cover 20% off tuition fee (4 years)";No;No;No;17-30;EFFST, Duolingo, TOEFL, IELTS;HIT;HIT;"TOEFL≥80
IELTS≥ 6,0
";;;;;;;;;;;;;;
