"Program Name","Level","Duration","Tuition Fee","Entry Requirements","Special Exams","Location","Start Date","Application Deadline","Application Fee","Servıce Fee","Program Language","University Name","CSCA Exam Required"
"Direct of Broadcast and Television","Bachelor","4 Years","RMB 19,600 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Library Science","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"International Politics","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Science of Educational Technology","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Ecology","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Japanese","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Computer Science and Technology","Bachelor","4 Years","RMB 16,000 per year","1. Non-Chinese citizens. 2. Applicants should be excellent in their studies, self-conduct, be healthy mentally and physically and obey Chinese laws and regulations. 3. Applicants should be over 18 years old and under 40 years old and have already obtained a high school diploma or equivalent education. 4. For Chinese who emigrated abroad, applicants must hold a valid foreign passport or nationality certificate for 4 years or above and have a record of actually living in a foreign country for more than 2 years in the last 4 years (before April 30, 2022). 5. If both parents or one of them is a Chinese citizen and lives in a foreign country, and an applicant was born with foreign nationality, he or she must hold a valid foreign passport or nationality certificate for 4 years or above, and have a record of actually living in a foreign country for more than 2 years in the last 4 years (before April 30, 2022).","N/A","Northeast Normal University","Sep 1, 2024","Jun 30, 2024","USD 82","USD 54","Chinese","Northeast Normal University","N/A"
"Biological Science","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Chemistry","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Electric Engineering and Automation","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Music","Bachelor","4 Years","RMB 19,600 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Geography","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Geographical Information System","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Physical Training","Bachelor","4 Years","RMB 19,600 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Sculpture","Bachelor","4 Years","RMB 19,600 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Fine Arts","Bachelor","4 Years","RMB 19,600 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Software Engineering","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Statistics","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Material Physics","Bachelor","4 Years","RMB 16,000 per year","1. Non-Chinese citizens. 2. Applicants should be excellent in their studies, self-conduct, be healthy mentally and physically and obey Chinese laws and regulations. 3. Applicants should be over 18 years old and under 40 years old and have already obtained a high school diploma or equivalent education. 4. For Chinese who emigrated abroad, applicants must hold a valid foreign passport or nationality certificate for 4 years or above and have a record of actually living in a foreign country for more than 2 years in the last 4 years (before April 30, 2022). 5. If both parents or one of them is a Chinese citizen and lives in a foreign country, and an applicant was born with foreign nationality, he or she must hold a valid foreign passport or nationality certificate for 4 years or above, and have a record of actually living in a foreign country for more than 2 years in the last 4 years (before April 30, 2022).","N/A","N/A","Sep 1, 2024","Jun 30, 2024","USD 82","USD 54","Chinese","Northeast Normal University","N/A"
"Applied Chemistry","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","Northeast Normal University","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Electronnics and Informaton Science and Technology","Bachelor","4 Years","RMB 16,000 per year","Applicants should obtain a high school diploma and HSK Level 5 Certificate","N/A","N/A","Sep 1, 2021","Jul 20, 2021","USD 75","USD 50","Chinese","Northeast Normal University","N/A"
"Long-term Chinese Language and Culture Program (1 Semester)","Non-degree","1 Semester","RMB 9,000 in total (About $ 1,258)","Applicants must be between the age of 18 and 65, in good physical and mental conditions, and have graduated from high school.","N/A","Zhejiang University, Hangzhou","Sep 14, 2026","May 15, 2026","USD 57","USD 200","Chinese","Zhejiang University","No"
"Long-term Chinese Language and Culture Program","Non-degree","1 Year","RMB 18,000 in total (About $ 2,515)","Applicants must be between the age of 18 and 65, in good physical and mental conditions, and have graduated from high school.","N/A","Hangzhou","N/A","May 15, 2026","USD 57","USD 200","Chinese","Zhejiang University","No"
"Computer Science and Technology","Master","2.5 Years","RMB 36,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree and be under the age of 40 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). There are no Chinese language proficiency requirements for the applicants of English-taught programs, but they (except for English native speakers) must have an internet-based TOEFL test score 90 or IELTS test score 6.5 (or above).","N/A","N/A","Sep 15, 2021","Apr 20, 2021","USD 150 (Non-Refundable)","USD 200 (Non-Refundable)","English","Zhejiang University","N/A"
"Electronics Science and Technology(Academic)","Master","2.5 Years","RMB 36,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicant who has given up their original Chinese citizenship and become foreign citizens shall provide the documents certifying the cancellation of Chinese nationality, according to the policy of Ministry of Education of the PRC. If the applicant has acquired foreign citizenship automatically at the time of birth in a foreign country, whose parents are both Chinese citizens, or one of the parents is a Chinese citizen, the review of applicant's application will be implemented according to the No.210 [2008] Article issued by Exit-Entry Administration Office, Provincial Public Security Bureau, Zhejiang Province. There are no Chinese language proficiency requirements for the applicants of English-taught programs, but they (except for English native speakers) must have an internet-based TOEFL test score 90 or IELTS test score 6.5 (or above). TOEFL DI Code of Zhejiang University is C340. TOEFL MyBest score is accepted. Applicants are strongly encouraged to provide GRE,NTS-GAT test score.","TOEFL, IELTS, GRE, NTS-GAT","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","English","Zhejiang University","N/A"
"Materials Science and Engineering","Master","2.5 Years","RMB 36,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree and be under the age of 40 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). There are no Chinese language proficiency requirements for the applicants of English-taught programs, but they (except for English native speakers) must have an internet-based TOEFL test score 90 or IELTS test score 6.5 (or above).","N/A","N/A","Sep 15, 2021","Apr 20, 2021","USD 150 (Non-Refundable)","USD 200 (Non-Refundable)","English","Zhejiang University","N/A"
"Crop Science","Master","3 Years","RMB 36,800 per year","Under the age of 35, Bachelor's degree holders, good health, English language proficiency.","N/A","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","English","Zhejiang University","N/A"
"Political Economy","Master","2 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2026","Feb 28, 2026","USD 113","USD 200","Chinese","Zhejiang University","No"
"Chemical Engineering and Technology","Master","2.5 Years","RMB 36,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). There are no Chinese language proficiency requirements for the applicants of English-taught programs, but they (except for English native speakers) must have an internet-based TOEFL test score 90 or IELTS test score 6.5 (or above).","TOEFL or IELTS (for non-native speakers), GRE, NTS-GAT (encouraged)","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","English","Zhejiang University","N/A"
"Western Economics","Master","2 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2026","Feb 28, 2026","USD 113","USD 200","Chinese","Zhejiang University","No"
"Population, Resources and Environmental Economics","Master","2 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2026","Feb 28, 2026","USD 113","USD 200","Chinese","Zhejiang University","No"
"Public Finance","Master","2 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree, and be under the age of 35.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"World Economics","Master","2 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability).","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Linguistics and Applied Linguistics","Master","3 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease; HSK certificate of level 5 (180 points) or above.","HSK Level 5","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Industrial Economics","Master","2 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2026","Feb 28, 2026","USD 113","USD 200","Chinese","Zhejiang University","No"
"Quantitative Economics","Master","2 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree, and be under the age of 35.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Ancient Chinese Literature","Master","3 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Proficient in Chinese (both spoken and written); HSK minimum requirement: Score 180 points in HSK Level 6.","N/A","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","N/A"
"Chinese Philology","Master","3 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; HSK minimum requirement: Score 180 points in HSK Level 6; Proficient in Chinese (both spoken and written).","N/A","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","N/A"
"Study of Chinese Classical Text","Master","3 Years","RMB 22,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs shall have HSK certificate of level 5 (180 points) or above.","HSK certificate of level 5 (180 points) or above","Zhejiang University","Sep 15, 2023","Feb 28, 2023","USD 164","USD 219","Chinese","Zhejiang University","No"
"Comparative Literature and World Literature","Master","3 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; HSK minimum requirement: Score 180 points in HSK Level 6; Form for Provisional Acceptance of International Student by ZJU Supervisor.","N/A","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","N/A"
"Fine Arts(Professional)","Master","3 Years","RMB 32,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability).","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"World History","Master","3 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"French Language and Literature","Master","2.5 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Russian Language and Literature","Master","2.5 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"German Language and Literature","Master","2.5 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Linguistics and Applied Linguistics in Foreign Languages","Master","2.5 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Geochemistry","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Japanese Language and Literature","Master","2.5 Years","RMB 22,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","N/A"
"Botany","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Developmental Biology","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Structural Geology and Tectonics","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor's degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Ecology","Master","3 Years","RMB 28,800 per year","1. Non-Chinese citizens with valid foreign passport. 2. Under the age of 35. 3. Bachelor’s degree holders. 4. Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Environmental Engineering","Master","3 Years","RMB 28,800 per year","1. Non-Chinese citizens with valid foreign passport. 2. Under the age of 35. 3. Bachelor’s degree holders. 4. Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Environmental Science","Master","3 Years","RMB 28,800 per year","1. Non-Chinese citizens with valid foreign passport. 2. Under the age of 35. 3. Bachelor’s degree holders. 4. Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Soil Science","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Biochemistry and Molecular Biology","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor's degree and be under the age of 40 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs of literature, history, philosophy, education and law should have a level 4 HSK certificate with minimum score of 210, or HSK certificate of level 5 or above; applicants for other Chinese-taught programs should have a level 4 HSK certificate with minimum score of 190, or HSK certificate of level 5 or above.","N/A","N/A","Sep 15, 2021","Apr 20, 2021","USD 150","USD 200","Chinese","Zhejiang University","N/A"
"Plant Nutrition","Master","3 Years","RMB 28,800 per year","Non-Chinese citizens with valid foreign passport; Under the age of 35; Bachelor’s degree holders; Good health with no infectious disease.","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","Zhejiang University, Hangzhou, China","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","No"
"Olericulture(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicant who has given up their original Chinese citizenship and become foreign citizens shall provide the documents certifying the cancellation of Chinese nationality, according to the policy of Ministry of Education of the PRC. If the applicant has acquired foreign citizenship automatically at the time of birth in a foreign country, whose parents are both Chinese citizens, or one of the parents is a Chinese citizen, the review of applicant's application will be implemented according to the No.210 [2008] Article issued by Exit-Entry Administration Office, Provincial Public Security Bureau, Zhejiang Province. Applicants for Chinese-taught programs have HSK certificate of level 5 (180 points) or above.","N/A","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Bioinformatics","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability).","HSK certificate of level 5 (180 points) or above for Chinese-taught programs.","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Pomology(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). For Programs taught in Chinese, applicants must provide HSK certificate of level 5 (180 points) or above.","HSK certificate of level 5 (180 points) or above","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Pesticide Science(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs have HSK certificate of level 5 (180 points) or above.","HSK certificate of level 5 (180 points) or above","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Tea Science(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs have HSK certificate of level 5 (180 points) or above.","HSK certificate of level 5 (180 points) or above","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Plant Pathology(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs have HSK certificate of level 5 (180 points) or above.","HSK certificate of level 5 (180 points) or above","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"Food Science and Engineering(Academic)","Master","3 Years","RMB 28,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have a bachelor’s degree (Applicant who has not got the degree certificate when applying shall provide the pre-graduation certificate first, then provide the academic degree certificates no later than registration) and be under the age of 35 (Age limit is flexible for healthy applicants with certain work experience and high academic ability). Applicants for Chinese-taught programs have HSK certificate of level 5 (180 points) or above.","N/A","N/A","Sep 15, 2022","Mar 31, 2022","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"MBBS in English","Bachelor","6 Years","RMB 42,800 Per Year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study, have graduated from high school (Graduating high school students can provide pre-graduation certificates first, then provide the graduation certificates no later than registration) and be under the age of 25. Requirements of the regulations set in the Document No. 12 (2020) of Ministry of Education of the PRC should be met. Applicants who have given up their original Chinese citizenship and become foreign citizens, must become foreign citizens before April 30,2017, and must have lived abroad more than 2 years from April 30,2017 to April 30,2021 (more than 9 months of residence abroad per year can be considered as one year). If the applicant has acquired foreign citizenship automatically at the time of birth in a foreign country, whose parents are both Chinese citizens, or one of the parents is a Chinese citizen, parent's (with Chinese citizenship) permanent resident in foreign country should be obtained prior to the birth of the applicant. Applicants must have lived abroad more than 2 years from April 30,2017 to April 30,2021 (more than 9 months of residence abroad per year can be considered as one year). Academic module overall 6.0 with at least 5.0 in each component TOEFL-iBT 75 or above with minimum 15 in Reading, Listening, Speaking and Writing. Applicants must have passed examination with minimum percentage of marks over 70% aggregate in Math, Physics, Chemistry, and Biology (Zoology & Botany).","TOEFL or IELTS","Zhejiang University, Hangzhou, China","Sep 15, 2022","Apr 30, 2022","USD 164","USD 219","English","Zhejiang University","No"
"Classic Literature","Bachelor","4 Years","RMB 19,800 per year","Applicants must be non-Chinese citizens with proper moral conduct, in good health with no infectious disease or any physical or mental diseases that may affect the normal study. Applicants must be valid foreign passport holders and have graduated from high school (Graduating high school students can provide pre-graduation certificates first, then provide the graduation certificates no later than registration) and be under the age of 25. Score 180 in HSK Level 6.","N/A","N/A","Sep 15, 2025","Feb 28, 2025","USD 164","USD 219","Chinese","Zhejiang University","N/A"
"History","Bachelor","4 Years","RMB 19,800 per year","Non-Chinese citizens with an ordinary foreign passport; Under the age of 25; Graduated from high school; Score 180 in HSK Level 5.","CSCA Exam Required","N/A","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Chinese","Zhejiang University","Yes"
"International Marketing","Bachelor","4 Years","RMB 39,900 per year","1. High school certificate or equivalent. 2. IELTS 6.0 or equivalent.","N/A","Beijing","Sep 2, 2025","Jun 15, 2025","USD 164","USD 54","English","Beijing Foreign Studies University","No"
